2023-11-13 09:59:38.315 IST [8048] LOG:  database system was shut down at 2023-11-13 09:47:12 IST
2023-11-13 10:04:38.311 IST [24476] LOG:  checkpoint starting: time
2023-11-13 10:04:39.612 IST [24476] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.692 s, sync=0.104 s, total=1.304 s; sync files=4, longest=0.053 s, average=0.026 s; distance=37 kB, estimate=37 kB
2023-11-13 10:07:07.059 IST [6600] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-11-13 10:12:04.006 IST [15468] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-11-13 12:08:05.349 IST [24476] LOG:  checkpoint starting: time
2023-11-13 12:08:06.509 IST [24476] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.646 s, sync=0.331 s, total=1.166 s; sync files=6, longest=0.161 s, average=0.055 s; distance=11 kB, estimate=34 kB
2023-11-13 12:18:05.534 IST [24476] LOG:  checkpoint starting: time
2023-11-13 12:19:50.567 IST [24476] LOG:  checkpoint complete: wrote 927 buffers (5.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=101.867 s, sync=3.004 s, total=105.034 s; sync files=304, longest=0.067 s, average=0.010 s; distance=4244 kB, estimate=4244 kB
2023-11-13 12:22:49.166 IST [18460] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-11-13 12:22:49.174 IST [25448] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-11-13 12:22:49.175 IST [12972] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-11-13 12:22:49.181 IST [13924] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-11-13 12:51:06.872 IST [24476] LOG:  checkpoint starting: time
2023-11-13 12:51:21.561 IST [24476] LOG:  checkpoint complete: wrote 120 buffers (0.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=13.540 s, sync=1.032 s, total=14.689 s; sync files=108, longest=0.046 s, average=0.010 s; distance=503 kB, estimate=3870 kB
2023-11-13 16:11:50.536 IST [17484] ERROR:  canceling statement due to user request
2023-11-13 16:11:50.619 IST [24476] LOG:  shutting down
2023-11-13 16:11:50.649 IST [24476] LOG:  checkpoint starting: shutdown immediate
2023-11-13 16:11:50.849 IST [24476] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.001 s, total=0.231 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=3483 kB
